Stress Period,PFHxS,PFOA,PFOS
378,0.07536000000000001,0.002706366666666667,0.13228333333333334
379,0.0743751612903226,0.0027520967741935477,0.13479032258064516
380,0.07385733333333332,0.0027732666666666675,0.13597666666666666
381,0.07355387096774194,0.002796677419354838,0.13724193548387095
382,0.07310516129032259,0.002816387096774194,0.13833225806451616
383,0.072575,0.0028328333333333326,0.13926333333333332
384,0.07220645161290322,0.002855645161290323,0.14050967741935483
385,0.07167233333333334,0.0028720333333333323,0.14145333333333332
386,0.07130129032258063,0.002894516129032258,0.14268709677419356
387,0.07086,0.0029133548387096767,0.14374516129032255
388,0.07022857142857143,0.002919071428571428,0.14413928571428572
389,0.07016806451612903,0.0029428064516129025,0.14541612903225803
390,0.06989966666666665,0.0029574666666666665,0.14623
391,0.06895612903225806,0.0029925161290322577,0.14819354838709675
392,0.06810833333333334,0.0030181333333333324,0.14969666666666667
393,0.0677858064516129,0.0030437741935483878,0.15111290322580642
394,0.0673274193548387,0.0030642903225806444,0.15228709677419353
395,0.06678566666666666,0.0030809000000000006,0.15325999999999998
396,0.06639806451612902,0.0031042903225806445,0.15457419354838708
397,0.06557299999999999,0.0031346333333333335,0.15630666666666665
398,0.06387032258064516,0.0031993548387096774,0.16002903225806453
399,0.0623558064516129,0.0032630645161290327,0.1637612903225806
400,0.061096896551724136,0.0033047586206896547,0.16628965517241376
401,0.06043354838709678,0.0033485483870967746,0.16883870967741935
402,0.059794333333333324,0.003371,0.17022666666666667
403,0.05945387096774193,0.003395387096774194,0.17164516129032262
404,0.05897166666666666,0.003411033333333333,0.17261666666666672
405,0.0586,0.003433806451612904,0.1739548387096774
406,0.05815064516129032,0.003453129032258064,0.1751258064516129
407,0.05763833333333333,0.0034687666666666666,0.17610666666666663
408,0.057254193548387095,0.0034917741935483865,0.1774741935483871
409,0.056755,0.0035066,0.17841666666666664
410,0.05640645161290323,0.0035281612903225817,0.17970322580645162
411,0.05603032258064516,0.003544451612903227,0.18070645161290325
412,0.05553178571428571,0.003545071428571429,0.1808892857142857
413,0.055494838709677426,0.0035697741935483873,0.1822774193548387
414,0.05501166666666667,0.0035907000000000005,0.18352666666666667
415,0.054374516129032255,0.0036139999999999987,0.18500645161290322
416,0.05388633333333334,0.0036309000000000003,0.1860733333333333
417,0.05349774193548387,0.0036542580645161278,0.1874870967741936
418,0.053041612903225815,0.0036737741935483877,0.18870645161290325
419,0.052535,0.0036889666666666656,0.18969999999999995
420,0.05214516129032257,0.003712225806451613,0.19112580645161292
421,0.05165,0.003726966666666667,0.1921066666666667
422,0.05128677419354839,0.003749193548387096,0.19346774193548388
423,0.050901935483870966,0.00376558064516129,0.19452258064516123
424,0.05042750000000001,0.003765035714285714,0.19465714285714286
425,0.050045161290322576,0.0038109354838709673,0.19730967741935485
426,0.049069666666666664,0.0038371666666666667,0.19911666666666666
427,0.04857161290322581,0.003868258064516128,0.20105806451612906
428,0.04801133333333333,0.0038844666666666672,0.2021933333333333
429,0.04766774193548387,0.0039083548387096765,0.2036774193548387
430,0.047240967741935494,0.003927096774193548,0.2048935483870968
431,0.046767,0.003940900000000001,0.20587333333333332
432,0.04639806451612903,0.003963483870967741,0.20729999999999998
433,0.04592966666666667,0.003977166666666666,0.20827000000000007
434,0.045567096774193544,0.003999483870967743,0.2097
435,0.04516935483870968,0.004016838709677418,0.21084838709677423
436,0.04466357142857142,0.004017178571428571,0.21109999999999998
437,0.044539999999999996,0.004043741935483872,0.21268387096774197
438,0.044301,0.0040514999999999995,0.2132633333333333
439,0.043964193548387105,0.004074967741935483,0.21471935483870966
440,0.04346033333333333,0.004086433333333334,0.2155966666666667
441,0.04309322580645162,0.004108903225806452,0.2170516129032258
442,0.042676774193548386,0.0041270645161290325,0.21829354838709675
443,0.04222366666666666,0.0041403,0.21926333333333328
444,0.04187193548387096,0.004162419354838711,0.22071612903225807
445,0.041434,0.004174933333333333,0.2216466666666667
446,0.041144687500000006,0.0042005937499999995,0.22329062500000002
