x,y,location,type
118,531,Peterson,Golf
118,532,Peterson,Golf
118,533,Peterson,Golf
118,534,Peterson,Golf
118,535,Peterson,Golf
118,536,Peterson,Golf
118,537,Peterson,Golf
118,538,Peterson,Golf
118,539,Peterson,Golf
118,540,Peterson,Golf
118,541,Peterson,Golf
118,542,Peterson,Golf
118,543,Peterson,Golf
118,544,Peterson,Golf
118,545,Peterson,Golf
118,546,Peterson,Golf
118,547,Peterson,Golf
118,548,Peterson,Golf
118,549,Peterson,Golf
118,550,Peterson,Golf
118,551,Peterson,Golf
118,552,Peterson,Golf
118,553,Peterson,Golf
118,554,Peterson,Golf
118,555,Peterson,Golf
118,556,Peterson,Golf
119,528,Peterson,Golf
119,529,Peterson,Golf
119,530,Peterson,Golf
119,531,Peterson,Golf
119,532,Peterson,Golf
119,533,Peterson,Golf
119,534,Peterson,Golf
119,535,Peterson,Golf
119,536,Peterson,Golf
119,537,Peterson,Golf
119,538,Peterson,Golf
119,539,Peterson,Golf
119,540,Peterson,Golf
119,541,Peterson,Golf
119,542,Peterson,Golf
119,543,Peterson,Golf
119,544,Peterson,Golf
119,545,Peterson,Golf
119,546,Peterson,Golf
119,547,Peterson,Golf
119,548,Peterson,Golf
119,549,Peterson,Golf
119,550,Peterson,Golf
119,551,Peterson,Golf
119,552,Peterson,Golf
119,553,Peterson,Golf
119,554,Peterson,Golf
119,555,Peterson,Golf
119,556,Peterson,Golf
120,528,Peterson,Golf
120,529,Peterson,Golf
120,530,Peterson,Golf
120,531,Peterson,Golf
120,532,Peterson,Golf
120,533,Peterson,Golf
120,534,Peterson,Golf
120,535,Peterson,Golf
120,536,Peterson,Golf
120,537,Peterson,Golf
120,538,Peterson,Golf
120,539,Peterson,Golf
120,540,Peterson,Golf
120,541,Peterson,Golf
120,542,Peterson,Golf
120,543,Peterson,Golf
120,544,Peterson,Golf
120,545,Peterson,Golf
120,546,Peterson,Golf
120,547,Peterson,Golf
120,548,Peterson,Golf
120,549,Peterson,Golf
120,550,Peterson,Golf
120,551,Peterson,Golf
120,552,Peterson,Golf
120,553,Peterson,Golf
120,554,Peterson,Golf
120,555,Peterson,Golf
120,556,Peterson,Golf
121,528,Peterson,Golf
121,529,Peterson,Golf
121,530,Peterson,Golf
121,531,Peterson,Golf
121,532,Peterson,Golf
121,533,Peterson,Golf
121,534,Peterson,Golf
121,535,Peterson,Golf
121,536,Peterson,Golf
121,537,Peterson,Golf
121,538,Peterson,Golf
121,539,Peterson,Golf
121,540,Peterson,Golf
121,541,Peterson,Golf
121,542,Peterson,Golf
121,543,Peterson,Golf
121,544,Peterson,Golf
121,545,Peterson,Golf
121,546,Peterson,Golf
121,547,Peterson,Golf
121,548,Peterson,Golf
121,549,Peterson,Golf
121,550,Peterson,Golf
121,551,Peterson,Golf
121,552,Peterson,Golf
121,553,Peterson,Golf
121,554,Peterson,Golf
121,555,Peterson,Golf
121,556,Peterson,Golf
122,528,Peterson,Golf
122,529,Peterson,Golf
122,530,Peterson,Golf
122,531,Peterson,Golf
122,532,Peterson,Golf
122,533,Peterson,Golf
122,534,Peterson,Golf
122,535,Peterson,Golf
122,536,Peterson,Golf
122,537,Peterson,Golf
122,538,Peterson,Golf
122,539,Peterson,Golf
122,540,Peterson,Golf
122,541,Peterson,Golf
122,542,Peterson,Golf
122,543,Peterson,Golf
122,544,Peterson,Golf
122,545,Peterson,Golf
122,546,Peterson,Golf
122,547,Peterson,Golf
122,548,Peterson,Golf
122,549,Peterson,Golf
122,550,Peterson,Golf
122,551,Peterson,Golf
122,552,Peterson,Golf
122,553,Peterson,Golf
122,554,Peterson,Golf
122,555,Peterson,Golf
122,556,Peterson,Golf
123,529,Peterson,Golf
123,530,Peterson,Golf
123,531,Peterson,Golf
123,532,Peterson,Golf
123,533,Peterson,Golf
123,534,Peterson,Golf
123,535,Peterson,Golf
123,536,Peterson,Golf
123,537,Peterson,Golf
123,538,Peterson,Golf
123,539,Peterson,Golf
123,540,Peterson,Golf
123,541,Peterson,Golf
123,542,Peterson,Golf
123,543,Peterson,Golf
123,544,Peterson,Golf
123,545,Peterson,Golf
123,546,Peterson,Golf
123,547,Peterson,Golf
123,548,Peterson,Golf
123,549,Peterson,Golf
123,550,Peterson,Golf
123,551,Peterson,Golf
123,552,Peterson,Golf
123,553,Peterson,Golf
123,554,Peterson,Golf
123,555,Peterson,Golf
123,556,Peterson,Golf
124,529,Peterson,Golf
124,530,Peterson,Golf
124,531,Peterson,Golf
124,532,Peterson,Golf
124,533,Peterson,Golf
124,534,Peterson,Golf
124,535,Peterson,Golf
124,536,Peterson,Golf
124,537,Peterson,Golf
124,538,Peterson,Golf
124,539,Peterson,Golf
124,540,Peterson,Golf
124,541,Peterson,Golf
