Period,CELLID,STAGE,COND,RBOT,BOUNDNAME
1,"(0, 368, 622)",1790.0,689.3165,1789.9,jimmy
1,"(0, 368, 621)",1792.0,208.323,1791.9,jimmy
1,"(0, 369, 621)",1791.0,569.435,1790.9,jimmy
1,"(0, 371, 621)",1788.0,123.701,1787.9,jimmy
1,"(0, 369, 620)",1791.0,258.861,1790.9,jimmy
1,"(0, 370, 620)",1791.0,590.5905,1790.9,jimmy
1,"(0, 371, 620)",1789.0,484.2255,1788.9,jimmy
1,"(0, 372, 620)",1788.0,634.077,1787.9,jimmy
1,"(0, 373, 620)",1788.0,394.9025,1787.9,jimmy
1,"(0, 373, 619)",1788.0,398.722,1787.9,jimmy
1,"(0, 374, 619)",1788.0,476.586,1787.9,jimmy
1,"(0, 374, 618)",1788.0,317.0385,1787.9,jimmy
1,"(0, 375, 618)",1787.0,557.976,1786.9,jimmy
1,"(0, 375, 617)",1788.0,232.7105,1787.9,jimmy
1,"(0, 376, 617)",1787.0,633.4895,1786.9,jimmy
1,"(0, 377, 617)",1787.0,533.5885,1786.9,jimmy
1,"(0, 377, 616)",1787.0,99.901,1786.9,jimmy
1,"(0, 378, 616)",1787.0,643.4795,1786.9,jimmy
1,"(0, 379, 616)",1786.0,583.539,1785.9,jimmy
1,"(0, 379, 615)",1787.0,95.1995,1786.9,jimmy
1,"(0, 380, 615)",1786.0,678.7385,1785.9,jimmy
1,"(0, 381, 615)",1786.0,401.6605,1785.9,jimmy
1,"(0, 381, 614)",1786.0,277.078,1785.9,jimmy
1,"(0, 382, 614)",1786.0,678.7385,1785.9,jimmy
1,"(0, 383, 614)",1786.0,205.3845,1785.9,jimmy
1,"(0, 383, 613)",1785.0,498.623,1784.9,jimmy
1,"(0, 384, 613)",1785.0,557.682,1784.9,jimmy
1,"(0, 384, 612)",1785.0,149.8515,1784.9,jimmy
1,"(0, 385, 612)",1785.0,680.7955,1784.9,jimmy
1,"(0, 386, 612)",1785.0,588.24,1784.9,jimmy
1,"(0, 387, 612)",1785.0,589.709,1784.9,jimmy
